id,num_sentences,num_clusters,local_cohesion,num_concepts,num_coh_sentences,num_non_coh_sentences,num_relations,lsa_local,lsa_global,Flesch_Kincaid
10141011,3,2,0.5,23,1,1,50,0.006495342935807499,0.33762831166956864,10.600491803278688
10141012,5,3,0,12,0,4,17,-0.01834601807574207,0.09832666346240335,3.812000000000003
10141021,5,3,0.25,16,1,3,50,0.47019987164632066,0.35795898557032435,6.037463414634148
10141022,5,4,0,7,0,4,5,0.3389483774347226,0.49497859422058266,4.372730158730159
10141031,4,4,0,13,0,3,18,0,0,5.043928571428575
10141041,3,2,0.5,18,1,1,148,0.026312556635858922,0.017541704423905947,9.616666666666669
10141042,2,2,0,12,0,1,19,0,0,11.988636363636365
10141051,3,2,0,27,0,2,322,9.079679328418328e-4,0.3338888834862835,10.765714285714287
10141052,4,1,0.333333333333,11,1,2,10,0.37901809550541454,0.5418043207787601,7.303604651162791
10141061,3,2,0.5,9,1,1,38,0.013482615783364498,0.008988410522243,5.411666666666671
10141071,7,5,0,31,0,6,429,0.1715627844624014,0.1089222588758462,9.552857142857144
10141072,6,4,0.2,12,1,4,18,0.6511888341354523,0.6305561860969396,3.8202439024390227
10141081,4,2,0,7,0,3,4,0,0,4.073823529411767
10141091,6,2,0.6,20,3,2,110,0.35474586751617887,0.21560987353412894,5.538582089552241
10141092,3,1,1,8,2,0,5,0.018666247681083072,0.012444165120722049,6.434193548387098
10141101,5,3,0,32,0,4,17,0.25,0.4,9.320769230769232
10141102,7,7,0,14,0,6,7,0.16666666666666663,0.04761904761904761,3.8777142857142852
10141111,7,2,0.166666666667,17,1,5,54,0.15778875087512095,0.15163570349210312,5.444797441364608
10141112,4,4,0,9,0,3,5,0.6625861903596804,0.5194251269827512,4.536875
10141121,7,5,0,22,0,6,53,7.19098350229858e-16,0.1428571428571433,7.003056478405318
10141131,5,3,0.25,25,1,3,311,-0.06417048795921937,0.012934855216293539,6.990615384615387
10141132,8,6,0.285714285714,11,2,5,4,0.281694938427402,0.16707389729618452,2.7172817460317464
10141141,10,5,0.222222222222,14,2,7,9,0.22094118119920664,0.17157965837629496,2.590315789473687
10141142,3,2,0.5,6,1,1,6,0.5000000000000001,0.3333333333333334,3.5802702702702707
10141151,6,5,0,12,0,5,13,0.19506009952752765,0.11303130255970496,8.390000000000002
10141152,6,3,0.2,8,1,4,1,0.5673431243302561,0.5521536415035085,3.4251492537313464
10141161,6,6,0,14,0,5,9,0.40000000000002134,0.40000000000000746,7.234729729729731
10141162,5,3,0.25,11,1,3,8,0.7611907267269418,0.5877562616921818,6.065032258064518
10141171,5,2,0.75,22,3,1,362,0.40280026136328495,0.3510489731750929,7.886000000000001
10141172,4,2,0.666666666667,10,2,1,7,0.012662286273293097,0.006331143136646548,5.370806451612905
10141181,5,3,0,12,0,4,33,0.4999999999999958,0.6000000000000003,2.839833333333333
10141182,5,4,0,9,0,4,7,0.06674548238841463,0.22829482730397008,2.3499999999999996
10141192,3,3,0,6,0,2,3,0.5000000000000001,0.3333333333333334,4.6544444444444455
10141201,6,5,0.2,23,1,4,35,0.4000000000000001,0.2666666666666667,6.335000000000003
10141202,5,4,0,12,0,4,6,0.2624098949086763,0.1968160250731117,7.09649275362319
10141211,8,6,0,21,0,7,26,0.20489945132539364,0.19489278577576097,5.970789473684212
10141212,6,4,0,14,0,5,5,0.4988030370196289,0.42982047854494165,5.52588235294118
10141221,4,4,0,15,0,3,41,0,0,5.742971698113207
10141222,2,1,1,11,1,0,30,0,0,9.91324561403509
10142011,4,1,0.666666666667,17,2,1,88,0.8720109270551553,0.6183040768306588,8.082061403508773
10142012,7,3,0.333333333333,8,2,4,6,0.18054727339376617,0.30517922931995906,6.528345864661654
10142021,3,1,0.5,30,1,1,522,0.013266704656617228,0.0184109972196172,9.080000000000004
10142031,4,3,0,17,0,3,10,9.412926775047155e-16,0.16666666666666707,6.870000000000003
10142032,6,4,0,12,0,5,6,0,0,3.942413793103446
10142041,7,5,0,14,0,6,5,0.09159996512303333,0.1528420680044292,5.463033268101766
10142042,9,4,0.25,14,2,6,11,0.1564994371131659,0.09611372476696954,3.5056118143459916
10142051,12,8,0.272727272727,35,3,8,45,0.35222216298638637,0.24069929834683104,6.626363636363637
10142052,4,3,0.333333333333,18,1,2,17,-0.4884684236300108,-0.0940828997325121,6.005654320987658
10142061,6,4,0.2,24,1,4,127,-0.007918879417441856,0.12782084765034793,6.464178082191781
10142062,8,5,0.285714285714,12,2,5,4,0.1428571428571432,0.21428571428570867,2.157983870967742
10142071,14,4,0.307692307692,32,4,9,70,0.21357836877830064,0.15184671977540493,7.532261904761905
10142072,11,9,0,17,0,10,4,0.0999999999999961,0.19999999999999862,2.6812814895947437
10142081,7,6,0.166666666667,17,1,5,24,0.16666666666666666,0.05165601988007495,3.5066045548654277
10142091,9,8,0,17,0,8,22,-2.0226913201328972e-17,0.1111111111111111,4.0202083333333345
10142092,2,1,1,16,1,0,36,0,0,13.367985074626867
10142101,9,1,0.375,16,3,5,39,0.35391887119974397,0.3299906087623491,7.9848012232415915
10142102,11,7,0.1,11,1,9,5,0.34356403557665116,0.3552543142360837,0.8588013698630146
10142111,6,4,0,14,0,5,26,0.22274463712662324,0.17194226568265145,3.7542857142857162
10142112,3,2,0,6,0,2,2,0.039142296049498274,0.05279636987964759,3.7364516129032257
10142121,6,3,0.2,17,1,4,16,0.20000000000000004,0.06666666666666668,5.352352941176472
10142122,4,3,0.333333333333,12,1,2,13,0.6666666666666666,0.3333333333333333,4.661296296296298
10142131,2,2,0,13,0,1,51,0,0,10.512142857142857
10142132,2,1,1,13,1,0,12,0,0,14.201111111111116
10142161,6,4,0,14,0,5,40,0.005910082539267301,0.13217422541756726,5.053181818181818
10142162,3,2,0,12,0,2,22,0,0.007826799788899904,4.45047619047619
10142171,2,2,0,22,0,1,240,0,0,16.189
10142172,7,3,0.333333333333,12,2,4,12,0.5289611624741514,0.36776428248636456,5.249120879120879
10142181,13,7,0.166666666667,34,2,10,74,0.05254561707102939,0.04545361808718471,6.805151515151513
10142182,11,6,0.2,16,2,8,7,0.09643624554552646,0.10817241116803111,3.21783759929391
10142191,5,4,0.25,17,1,3,96,0.5,0.3,4.963818181818182
10142192,9,6,0.25,10,2,6,4,0.13032141340643724,0.16490220928923027,3.5056118143459916
10142201,8,2,0.428571428571,34,3,4,308,0.18029875705693427,0.2056495112348517,7.386755319148934
10142202,7,4,0,18,0,6,22,0.17709608717935635,0.31859546227742946,6.032887537993924
10142211,4,3,0.333333333333,22,1,2,155,0.031385149048112876,0.015692574524056438,9.297065217391305
10142212,6,4,0.4,13,2,3,9,0.37954509252657287,0.2266005474389983,6.512741935483872
10142221,6,4,0.2,24,1,4,93,0.39676518314490095,0.14349711286811662,7.53340425531915
10142231,4,2,0.333333333333,26,1,2,29,0.3419533627576421,0.17015034888291347,10.77638888888889
10142232,7,4,0.166666666667,15,1,5,9,0.4482291131008645,0.3670554060079145,4.192063492063491
10142241,7,7,0,21,0,6,62,0.41511061327067944,0.40833557406405224,7.448571428571428
10142242,8,6,0.142857142857,10,1,6,4,0.6679709436205863,0.5424416971363027,3.1970833333333335
10142251,7,5,0,19,0,6,28,0,0.003862565185740023,5.68217798594848
10142252,3,1,0.5,8,1,1,16,0.24852511218820897,0.1656834081254727,7.242830188679244
10142261,5,3,0.25,12,1,3,22,0.24999999999999994,0.29999999999999993,4.7559999999999985
10142262,4,3,0,11,0,3,8,0.3333333333333332,0.1666666666666666,5.45875
10261021,4,2,0.333333333333,7,1,2,7,0.35909145579315704,0.17423868450109103,5.148653846153847
10261022,6,3,0.2,12,1,4,7,0.2138923525060879,0.21947388284736177,5.642727272727273
10261031,7,1,0.333333333333,22,2,4,83,0.5717596828363357,0.6208787181880977,7.479924812030076
10261032,2,1,1,12,1,0,21,0,0,13.545506329113925
10261041,10,4,0.222222222222,30,2,7,141,0.22222222222222082,0.28888888888888525,6.370940366972478
10261042,10,4,0.111111111111,14,1,8,7,0.22222222222222227,0.2222222222222222,1.9700000000000006
10261051,11,2,0.4,23,4,6,132,0.5968115797680632,0.24217771858126438,7.847843137254904
10261052,5,3,0.25,9,1,3,13,0.07200094818553386,0.1748762847086421,7.639999999999999
10261061,2,2,0,15,0,1,130,0,0,10.452105263157899
10261071,4,3,0.333333333333,22,1,2,129,-6.937572775429836e-20,0.16666666666666666,7.4573360655737755
10261072,5,1,0.5,16,2,2,41,0.4574674455146315,0.49534130970443985,6.043662337662338
10261081,9,5,0.125,29,1,7,77,0.20047196950421325,0.10667809611889982,7.608985507246379
10261082,7,2,0.333333333333,16,2,4,14,0.1786661037893622,0.19941522709096854,5.2531829573934825
10261091,3,3,0,10,0,2,9,0.49999999999999994,0.3333333333333333,7.92897435897436
10261092,5,4,0,13,0,4,9,0.4999999999999999,0.29999999999999993,5.0752048192771095
10261101,6,2,0,26,0,5,56,0,0.0034955300799304205,10.700730337078655
10261102,2,1,0,15,0,1,23,0,0,12.516666666666671
10261111,3,1,0.5,26,1,1,184,0.005295785222999411,0.02019136974735421,14.724117647058828
10261112,3,1,1,8,2,0,8,0.0546338906199471,0.04660647654112182,8.803333333333333
10261121,4,3,0,17,0,3,71,0,0,8.056212121212125
10261131,4,1,1,14,3,0,49,0.8159753457049997,0.5254505060609883,13.174285714285714
10261132,2,2,0,14,0,1,40,0,0,13.681794871794873
10261151,14,6,0.230769230769,20,3,10,14,0.10754685761442694,0.15284653745003396,4.47046218487395
10261152,6,1,0.6,7,3,2,8,0.5601759353073021,0.2548683051169087,5.134819819819823
10261161,14,7,0.153846153846,43,2,11,84,-0.022309779883170247,0.09527127059898506,5.776052227342552
10261162,7,3,0.333333333333,20,2,4,21,0.18648017951503282,0.1652181088539272,5.346190476190477
10261171,9,6,0.125,38,1,7,156,0.10943661433868777,0.12451772429857272,9.640666666666666
10261172,2,1,1,10,1,0,17,0,0,14.597500000000002
10261181,4,2,0.333333333333,13,1,2,16,0.7620313181627886,0.6261763576483,6.652500000000002
10261191,4,1,0.333333333333,16,1,2,81,0.0029989522759366304,0.3295634296262036,8.77705882352941
10261192,3,2,0.5,14,1,1,28,0.03541148568021964,0.025846128573079455,11.362727272727271
10261201,13,7,0.0833333333333,36,1,11,77,0.17374192426571078,0.09412765204854781,8.06846153846154
10261202,10,5,0.222222222222,18,2,7,13,0.10614679288254505,0.09880939773094333,2.4976555023923463
10261211,3,2,0.5,20,1,1,39,0.5000000000000001,0.3333333333333334,10.212666666666669
10261221,3,2,0.5,8,1,1,23,0.022536208961535627,0.015024139307690419,6.524920634920635
10261231,8,4,0.142857142857,32,1,6,93,0.0031034507235699438,0.15445113090693283,9.546452020202024
10261232,6,4,0.2,15,1,4,11,0,0.009609853914807984,5.507142857142858
10261241,8,4,0.142857142857,24,1,6,162,0.14433818932779827,0.17379648806518275,7.774423076923076
10261242,13,6,0.0833333333333,15,1,11,7,0.3349267272529146,0.23981566508774632,1.5279487179487194
10261251,10,3,0.222222222222,19,2,7,38,0.07827996141376461,0.13709958162351737,5.398333333333335
10261252,6,3,0.4,17,2,3,17,0.5885355161676182,0.4161121475043404,10.133999999999999
10261261,14,8,0.153846153846,28,2,11,45,0.351885297324553,0.22532677667672127,4.6877639751552795
10261262,6,4,0.4,10,2,3,7,0.3998720569908688,0.3018891907385285,4.83
10361011,3,2,0.5,25,1,1,183,0.008357607933640166,0.005571738622426777,14.446470588235295
10361012,6,3,0.4,14,2,3,18,0.46182102413307335,0.33125328251605773,5.9173300970873814
10361021,6,1,1,14,5,0,66,0.5016044044480952,0.4201548936400505,5.493783783783789
10361022,10,5,0.222222222222,14,2,7,9,0.3014475724593819,0.33370132274838216,2.7965714285714274
10361031,9,3,0.125,30,1,7,234,0.5563028760040678,0.48652010207404855,6.819990990990993
10361032,4,2,0.666666666667,9,2,1,11,0.6630822254668086,0.5766402646287078,8.88533505154639
10361041,10,6,0.333333333333,23,3,6,22,0.21688005099908184,0.08687154182541368,6.5014285714285744
10361042,5,4,0,6,0,4,2,0,0.05592152617367396,3.635833333333336
10361061,15,4,0.285714285714,35,4,10,59,0.1013336121154087,0.187558609706552,7.356
10361062,4,1,0.333333333333,17,1,2,16,0.5867447508749347,0.5631061225821331,17.345357142857146
10361071,6,2,0.4,15,2,3,35,0.23709024732353115,0.21771895016847678,6.517692307692306
10361072,6,2,0.6,13,3,2,4,0.3384914976110148,0.20862915998564363,4.832857142857145
10361081,6,1,0.6,27,3,2,68,0.3753999266120864,0.558031475688516,12.460000000000003
10361091,7,3,0.166666666667,37,1,5,256,0.26382599266093076,0.32853015463133123,10.234371002132198
10361101,4,2,0.333333333333,15,1,2,9,0.5360942996075116,0.5180144269121864,7.191578947368422
10361102,2,1,1,10,1,0,19,0,0,16.009999999999998
10361111,3,1,1,14,2,0,48,0.010738916949370807,0.007159277966247205,9.475555555555557
10361121,8,3,0.571428571429,40,4,3,591,0.448637529809447,0.35648384601373406,10.283769841269843
10361122,9,4,0.125,16,1,7,3,0.5784983789504882,0.35950098356870464,4.527254901960786
10361131,5,1,1,25,4,0,116,0.5357064128937213,0.6183387268998425,15.190043478260867
10361132,3,2,0,10,0,2,14,0,0.028951516828223594,11.1823595505618
10361141,2,2,0,28,0,1,338,0,0,31.207333333333338
10361151,10,5,0.333333333333,33,3,6,133,0.522370735616015,0.28093933720981196,6.23975824175824
10361152,3,3,0,15,0,2,31,0.022160099123234526,0.014773399415489684,14.185384615384615
10361161,8,3,0.142857142857,22,1,6,24,-0.018379365711350692,0.1854755395750265,7.25419117647059
10361181,6,2,0.4,22,2,3,78,0.26595996374776426,0.18305389699133862,7.654677419354838
10361182,10,6,0.111111111111,12,1,8,4,0.3102578411754233,0.3472627815773406,4.045333333333334
10361191,9,4,0.125,29,1,7,58,0.29303661564963013,0.3235547477185467,7.477229437229438
10361192,9,5,0.25,9,2,6,3,0.278479213748877,0.23622643420477862,5.921979949874688
10361201,5,3,0.25,20,1,3,25,0.26928583860910743,0.2959955939176096,9.364000000000003
10361211,3,2,0,12,0,2,20,0,0,6.6480000000000015
10361212,2,2,0,13,0,1,19,0,0,10.513478260869567
10361221,3,2,0.5,24,1,1,221,0.4865716439696973,0.45812928593820995,14.34280701754386
10361231,8,6,0.142857142857,21,1,6,41,0.16715916171807668,0.11947823515866415,5.95590909090909
10361232,6,4,0.2,15,1,4,11,0.34054433703804526,0.3160480611043233,7.303907563025211
10361241,4,1,0.333333333333,21,1,2,129,0.6151363766381927,0.5166325563807845,8.647069892473118
10361251,7,4,0.333333333333,17,2,4,21,0.2873103225259095,0.15510897533564538,5.419545454545455
10361252,3,2,0.5,10,1,1,8,0.10420205272300824,0.06946803514867216,6.538196721311477
10361261,8,3,0.428571428571,25,3,4,41,0.3272667273892968,0.35221576253322356,7.627650709219859
10361262,7,2,0.166666666667,15,1,5,8,0.32491702542257533,0.23693099478111204,5.62990147783251
10361271,4,4,0,15,0,3,34,0,0,9.843636363636362
10361281,10,7,0,29,0,9,52,0.08312713862009458,0.14593479551468064,6.702
10361282,8,5,0.285714285714,11,2,5,6,0.41642998210730425,0.492163734947082,2.844502688172044
10361291,7,4,0.333333333333,23,2,4,69,0.3046172124686746,0.17930647734048927,7.797380952380953
10361292,4,3,0.333333333333,8,1,2,5,0.675513993615669,0.4514617523966235,9.950454545454546
10361301,9,5,0.125,24,1,7,57,0.07862462190781638,0.06864099600578445,4.264444444444445
10361302,7,5,0.166666666667,11,1,5,3,0.1611527324221477,0.1727859644977393,4.331526418786693
10361311,6,3,0.4,10,2,3,8,0.1426013997369176,0.25592980698802875,3.5513636363636376
10361312,7,3,0.333333333333,16,2,4,11,0.603824411592209,0.2714747256900972,4.794285714285715
10391011,9,3,0.375,26,3,5,55,0.18871380779601257,0.15338735864706862,8.18179487179487
10391012,4,3,0.333333333333,11,1,2,15,0.3124802699885154,0.21023416857637234,7.148117283950617
10391021,8,2,0.428571428571,28,3,4,98,0.07526904944502746,0.19078024219387482,11.512820680628275
10391022,3,1,0.5,20,1,1,61,0.052015149009325114,0.03467676600621674,16.61676470588236
