id,num_sentences,num_clusters,local_cohesion,num_concepts,num_coh_sentences,num_non_coh_sentences,num_relations,lsa_local,lsa_global,Flesch_Kincaid
10261241,8,3,0.142857142857,24,1,6,160,0.2256474334746075,0.19970412946260138,7.955961538461542
10261242,13,5,0.166666666667,16,2,10,8,0.3349267272529146,0.23981566508774632,1.839999999999998
10261251,11,4,0.2,19,2,8,37,0.06584165534754358,0.12167205350664459,4.9728787878787895
10261252,10,5,0.222222222222,17,2,7,18,0.7508928909094474,0.6175282033672176,6.391333333333334
10261261,14,7,0.307692307692,28,4,9,26,0.24533794716622295,0.1745473369537216,4.482024539877299
10261262,7,5,0.333333333333,10,2,4,6,0.1316661433431035,0.1403913418082019,3.975714285714284
10361011,7,4,0.333333333333,26,2,4,66,0.01622233190403026,0.04127488760185806,7.3645930232558126
10361012,11,6,0.1,14,1,9,9,0.11516864150438064,0.2078189231435714,3.1026381461675587
10361021,7,2,0.833333333333,14,5,1,42,0.42274095249353616,0.302146975731718,4.978101761252448
10361022,12,7,0.181818181818,14,2,9,6,0.21556039985554956,0.2782255903445609,2.0685714285714294
10361031,10,3,0.222222222222,30,2,7,213,0.5850090754747537,0.35174008267985446,7.407297297297296
10361032,7,4,0.333333333333,9,2,4,5,0.758023243500487,0.4586277515364249,4.832120765832107
10361041,12,6,0.363636363636,23,4,7,19,0.20547335180136983,0.15149703862399297,5.675714285714287
10361042,4,4,0,6,0,3,2,0,0.05592152617367396,3.635833333333336
10361061,15,3,0.285714285714,35,4,10,51,0.21178892470305427,0.2702038045944675,7.296387096774195
10361062,4,1,0.333333333333,17,1,2,16,0.5867447508749347,0.5631061225821331,17.345357142857146
10361071,6,2,0.4,15,2,3,35,0.23709024732353115,0.21771895016847678,6.517692307692306
10361072,6,2,0.6,13,3,2,6,0.3384914976110148,0.20862915998564363,4.832857142857145
10361081,13,3,0.5,28,6,6,39,0.12366655856890213,0.15460545087854902,6.57609756097561
10361091,8,4,0.142857142857,36,1,6,294,0.29433226405456786,0.3574026446261157,9.301156716417912
10361101,5,2,0.5,15,2,2,22,0.5389806636725503,0.4555348910102304,5.399052631578948
10361102,4,1,0.666666666667,11,2,1,8,0.7102616681128847,0.5381732475479184,7.7549175824175816
10361111,3,1,1,13,2,0,24,0.010738916949370807,0.007159277966247205,9.694074074074075
10361112,6,3,0.4,10,2,3,4,0.1305274215923043,0.23081552815969272,2.3431690140845074
10361121,9,2,0.5,38,4,4,615,0.45243443284649576,0.3574531421150414,9.815515873015874
10361122,10,4,0.111111111111,17,1,8,5,0.43282547954505485,0.2918905358622383,4.011588235294118
10361131,6,1,1,25,5,0,103,0.6757987363385397,0.6813479814077762,12.79804347826087
10361132,4,2,0,10,0,3,8,0.34939399626440676,0.34933620808454613,8.289859550561799
10361141,9,5,0.125,30,1,7,113,0.46243474743198226,0.32333649187077795,8.611598173515985
10361142,8,5,0.285714285714,14,2,5,12,0.4157810238135436,0.3387073436772319,6.259482484076434
10361151,10,5,0.222222222222,33,2,7,146,0.37916713195137036,0.13874552596468195,6.325524590163935
10361152,5,5,0,15,0,4,10,0.32072825299203256,0.33758932272507847,8.922380952380953
10361161,9,3,0.125,22,1,7,22,0.16808782216393192,0.2621594048329755,6.813333333333334
